Shopify product ID,Product,Regular price USD,Unit cost USD,Regular gross margin,Sale discount,Sale price USD,Sale gross profit USD,Sale gross margin,Offer status
10564768071861,Custom Pets Prints Linen Pillow Case 20x12,16.49,3.99,75.8%,30%,11.54,7.55,65.4%,Live
10564768137397,Custom Pets Christmas Stocking,44.99,9.59,78.7%,30%,31.49,21.90,69.5%,Live
10564768170165,Custom Pets Christmas Tree Skirt,44.99,15.99,64.5%,30%,31.49,15.50,49.2%,Live
10564768202933,Halloween Spaniel Crystal Ornament,29.99,5.49,81.7%,30%,20.99,15.50,73.8%,Live
10564768235701,Halloween Shiba Crystal Ornament,29.99,5.49,81.7%,30%,20.99,15.50,73.8%,Live
